"Mã sản phẩm","Tên sản phẩm","Nhóm sản phẩm","Mã biến thể","Tên biến thể","Mô tả","Model","Công suất","Điện áp vào","Điện áp ra","Tương thích chip LED","Dimming","Tính năng","Xuất xứ"
"NPL","Nguồn Philips","Nguồn Philips","NPLD-200W","Nguồn Philips 200W - Model: Xi LP 200W 0.3-1.05A S1 WL I195 | Dim 10 Cấp (Input: AC 220V / Output: DC 142-286V)","Nguồn Philips DIM 5 cấp công suất 200W Xi LP 200W 0.3-1.05A S1 WL I195 - (Điện áp cao)","Xi LP 200W 0.3-1.05A S1 WL I195","200","AC 220V","Điện áp cao","5C","Dim 10 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLD-200W-T","Nguồn Philips 200W - Model: Xi LP 200W 0.5-1.5A S1 WL I195 | Dim 10 Cấp (Input: AC 220V / Output: DC 95-200V)","Nguồn Philips DIM 5 cấp công suất 200W Xi LP 200W 0.5-1.5A S1 WL I195 - (Điện áp thấp)","Xi LP 200W 0.5-1.5A S1 WL I195","200","AC 220V","Điện áp cao","5C","Dim 5 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLD-250W","Nguồn Philips 250W - Model: Xi LP 250W 0.3-1.05A S1 WL I215 | Dim 10 Cấp (Input: AC 220V / Output: DC 165-357V)","Nguồn Philips DIM 5 cấp công suất 250W Xi LP 250W 0.3-1.05A S1 WL I215 - (Điện áp cao)","Xi LP 250W 0.3-1.05A S1 WL I215","250","AC 220V","Điện áp cao","5C","Dim 10 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLD-250W-T","Nguồn Philips 250W - Model: Xi LP 250W 0.5-1.5A S1 WL I215 | Dim 10 Cấp (Input: AC 220V / Output: DC 115-250V)","Nguồn Philips DIM 5 cấp công suất 250W Xi LP 200W 0.3-1.05A S1 WL I195 - (Điện áp thấp)","Xi LP 250W 0.5-1.5A S1 WL I215","250","AC 220V","Điện áp cao","5C","Dim 5 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLD-320W-T","Nguồn Philips 300W - Model: Xi LP 320W 0.7-2.1A S1 WL I215 | Dim 10 Cấp (Input: AC 220V / Output: DC 107-228V)
","Nguồn Philips DIM 5 cấp công suất 320W Xi LP 200W 0.7-2.1A S1 WL I195 - (Điện áp cao)","Xi LP 320W 0.7-2.1A S1 WL I215","300","AC 220V","Điện áp cao","5C","Dim 5 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLT-100W300X","Nguồn Philips 100W - Model: Xi 100W 0.35-0.55A WL RI129S | Dim 1 Cấp (Input: AC 220V / Output: DC 120-286V)","Nguồn tròn đèn LED nhà xưởng 100W PHILIPS điện áp vào: 100 - 277VAc, điện áp ra: 180-300VDc","Xi 100W 0.35-0.55A WL RI129S","100","AC 220V","Điện áp cao","40C","Dim 1 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLT-150W300X","Nguồn Philips 150W - Model: Xi 150W 0.52-0.84A WL  RI129S | Dim 1 Cấp (Input: AC 220V / Output: DC 120-286V)","Nguồn tròn đèn LED nhà xưởng 150W PHILIPS điện áp vào: 100 - 277VAc, điện áp ra: 180-300VDc","Xi 150W 0.52-0.84A WL  RI129S","150","AC 220V","Điện áp cao","40C","Dim 1 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLT-200W300X","Nguồn Philips 200W - Model: Xi 200W 0.66-1.1A WL RI129S | Dim 1 Cấp (Input: AC 220V / Output: DC 130-300V)","Nguồn tròn đèn LED nhà xưởng 200W PHILIPS điện áp vào: 100 - 277VAc, điện áp ra: 180-300VDc","Xi 200W 0.66-1.1A WL RI129S","200","AC 220V","Điện áp cao","40C","Dim 1 Cấp","",""
"NPL","Nguồn Philips","Nguồn Philips","NPLT-240W300X","Nguồn Philips 250W - Model: Xi 240W 0.82-1.35A WL RI129S | Dim 1 Cấp (Input: AC 220V / Output: DC 130-300V)","Nguồn tròn đèn LED nhà xưởng 240W PHILIPS điện áp vào: 100 - 277VAc, điện áp ra: 180-300VDc","Xi 240W 0.82-1.35A WL RI129S","250","AC 220V","Điện áp cao","40C","Dim 1 Cấp","",""
"NMW","Nguồn Meanwell","Nguồn Meanwell","NMW-XLG50A","Nguồn Meanwell 50W - Model: XLG-50-A | Dim 1 Cấp (Input: AC 220V / Output: DC 22~54V)","Nguồn điện MEAN WELL 50W (XLG-50-A) - 100~305Vac 50/60Hz; Out: 22~54Vdc; Output: 0.53-2.1A; PF~0.95; Protection: IP67 - 4KV; Size: 105*63*30mm; Nw: 410g; 24psc/Box; Weight: 11Kg; Size: mm","XLG-50-A","50","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 1 Cấp","",""
"NMW","Nguồn Meanwell","Nguồn Meanwell","NMW-XLG75H","Nguồn Meanwell 75W - Model: XLG-75-H | Dim 1 Cấp (Input: AC 220V / Output: DC 27~56V)
","Nguồn điện MEAN WELL 75W (XLG-75-H) - 100~305Vac 50/60Hz; Out: 27~56Vdc; Output: 1.3-2.1A; PF~0.95; Protection: IP67 - 4KV; Size: 140*63*32mm; Nw: 580g; 24psc/Box; Weight: 15Kg; Size: mm","XLG-75-H","75","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 1 Cấp","",""
"NMW","Nguồn Meanwell","Nguồn Meanwell","NMW-XLG100H","Nguồn Meanwell 100W - Model: XLG-100-H | Dim 1 Cấp (Input: AC 220V / Output: DC 27~56V)
","Nguồn điện MEAN WELL 100W (XLG-100-H) - 100~305Vac 50/60Hz; Out: 27~56Vdc; Output: 1.75-2.78A; PF~0.95; Protection: IP67 - 4KV; Size: 140*63*32mm; Nw: 580g; 24psc/Box; Weight: 15Kg; Size: mm","XLG-100-H","100","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 1 Cấp","",""
"NMW","Nguồn Meanwell","Nguồn Meanwell","NMW-XLG150H","Nguồn Meanwell 150W - Model: XLG-150-H | Dim 1 Cấp (Input: AC 220V / Output: DC 27~56V)","Nguồn điện MEAN WELL 150W (XLG-150-H) - 100~305Vac 50/60Hz; Out: 27~56Vdc; Output: 2.68-4.17A; PF~0.95; Protection: IP67 - 4KV; Size: 180*63*35.5mm; Nw: 800g; 16psc/Box; Weight: 13.4Kg; Size: mm","XLG-150-H","150","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 1 Cấp","",""
"NMW","Nguồn Meanwell","Nguồn Meanwell","NMW-XLG200H","Nguồn Meanwell 200W - Model: XLG-200-H | Dim 1 Cấp (Input: AC 220V / Output: DC 27~56V)","Nguồn điện MEAN WELL 200W (XLG-200-H) - 100~305Vac 50/60Hz; Out: 27~56Vdc; Output: 3.5-5.55A; PF~0.95; Protection: IP67 - 4KV; Size: 199*63*35.5mm; Nw: 850g; 16psc/Box; Weight: 14.2Kg; Size: mm","XLG-200-H","200","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 1 Cấp","",""
"NMW","Nguồn Meanwell","Nguồn Meanwell","NMW-XLG240H","Nguồn Meanwell 250W - Model: XLG-240-H | Dim 1 Cấp (Input: AC 220V / Output: DC 27~56V)","Nguồn điện MEAN WELL 240W (XLG-240-H) - 100~305Vac 50/60Hz; Out: 27~56Vdc; Output: 4.28-6.66A; PF~0.95; Protection: IP67 - 4KV; Size: 219*63*35.5mm; Nw: 1000g; 16psc/Box; Weight: 16Kg; Size: mm","XLG-240-H","250","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 1 Cấp","",""
"NMW","Nguồn Meanwell","Nguồn Meanwell","NMW-XLG320H","Nguồn Meanwell 300W - Model: XLG-320-H | Dim 1 Cấp (Input: AC 220V / Output: DC 30~56V)","Nguồn điện MEAN WELL 320W (XLG-320-H) - 100~305Vac 50/60Hz; Out: 30~56Vdc; Output: 5.57-7.42A; PF~0.95; Protection: IP67 - 4KV; Size: 246*77*39.5mm; Nw: 1450g; 9psc/Box; Weight: 14Kg; Size: mm","XLG-320-H","300","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 1 Cấp","",""
"NIV","Nguồn Inventronics","Nguồn Inventronics","NIV-EUM-050S150DG","Nguồn Inventronics 50W - Model: EUM-050S150DG | Dim 5 Cấp (Input: AC 220V / Output: DC 18~54V)","Nguồn điện INVENTRONICS 50W (EUM-050S150DG) - 90~305Vac 50/60Hz; Out: 18~54Vdc; Output: 920 – 1500 mA; PF~0.95; Protection: IP67 - 6KV; Size: 95 x 64 x 36.5mm; Nw: 490g; 25psc/Box; Weight: 15.5Kg; Size: mm","EUM-050S150DG","50","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 5 Cấp","",""
"NIV","Nguồn Inventronics","Nguồn Inventronics","NIV-EUM-075S210Dx","Nguồn Inventronics 75W - Model: EUM-075S210Dx | Dim 5 Cấp (Input: AC 220V / Output: DC 18~54V)
","Nguồn điện INVENTRONICS 75W (EUM-075S210Dx) - 90~305Vac 50/60Hz; Out: 18~54Vdc; Output: 1.4-2.1A; PF~0.95; Protection: IP67 - 6KV; Size: 142*60*36.5mm; Nw: 600g; 25psc/Box; Weight: 15.5Kg; Size: mm","EUM-075S210Dx","75","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 5 Cấp","",""
"NIV","Nguồn Inventronics","Nguồn Inventronics","NIV-EUM-100S280DG","Nguồn Inventronics 100W - Model: EUM-100S280DG | Dim 5 Cấp (Input: AC 220V / Output: DC 17~54V)","Nguồn điện INVENTRONICS 100W (EUM-100S280DG) - 90~305Vac 50/60Hz; Out: 17~54Vdc; Output: 1.75-2.1A; PF~0.95; Protection: IP67 - 6KV; Size: 131*60*36.5mm; Nw: 620g; 25psc/Box; Weight: 16.5Kg; Size: mm","EUM-100S280DG","100","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 5 Cấp","",""
"NIV","Nguồn Inventronics","Nguồn Inventronics","NIV-EUM150S420DG","Nguồn Inventronics 150W - Model: EUM-150S420DG | Dim 5 Cấp (Input: AC 220V / Output: DC 18~54V)","Nguồn điện INVENTRONICS 150W (EUM-150S420DG) - 90~305Vac 50/60Hz; Out: 18~54Vdc; Output: 2.8-4.2A; PF~0.95; Protection: IP67 - 6KV; Size: 178*60*36.5 mm; Nw: 735g; 25psc/Box; Weight: 19.5Kg; Size: mm","EUM-150S420DG","150","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 5 Cấp","",""
"NIV","Nguồn Inventronics","Nguồn Inventronics","NIV-EUM200S560DG","Nguồn Inventronics 200W - Model: EUM-200S560DG | Dim 5 Cấp (Input: AC 220V / Output: DC 18~57V)","Nguồn điện INVENTRONICS 200W (EUM-200S560DG) - 90~305Vac 50/60Hz; Out: 18~57Vdc; Output: 3.5-5.6A; PF~0.95; Protection: IP67 - 6KV; Size: 188*60*36.5 mm; Nw: 780g; 25psc/Box; Weight: 19.5Kg; Size: mm","EUM-200S560DG","200","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 5 Cấp","",""
"NIV","Nguồn Inventronics","Nguồn Inventronics","NIV-EUM240S560DG","Nguồn Inventronics 250W - Model: EUM-240S560DG | Dim 5 Cấp (Input: AC 220V / Output: DC 18~57V)","Nguồn điện INVENTRONICS 240W (EUM-240S560DG) - 90~305Vac 50/60Hz; Out: 18~57Vdc; Output: 3.5-5.6A; PF~0.95; Protection: IP67 - 6KV; Size: 188*60*36.5 mm; Nw: 780g; 25psc/Box; Weight: 19.5Kg; Size: mm","EUM-240S560DG","250","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 5 Cấp","",""
"NIV","Nguồn Inventronics","Nguồn Inventronics","NIV-EUM320S760DG","Nguồn Inventronics 300W - Model: EUM-320S760DG | Dim 5 Cấp (Input: AC 220V / Output: DC 21-60V)","Nguồn điện INVENTRONICS 320W (EUM-320S760DG) - 90~305Vac 50/60Hz; Out: 21-60Vdc; Output: 5.35-7.6A; PF~0.95; Protection: IP67 - 6KV; Size: 224*80*44.5 mm; Nw: 1510g;","EUM-320S760DG","300","AC 220V","DC 30V / 42V","5C / 7C / 8C","Dim 5 Cấp","",""
